"_unit_id","_golden","_unit_state","_trusted_judgments","_last_judgment_at","birthplace","birthplace:confidence","date_of_birth","date_of_birth:confidence","race_ethnicity","race_ethnicity:confidence","religion","religion:confidence","sexual_orientation","sexual_orientation:confidence"
670454757,"FALSE","finalized",3,"2/10/15 2:00","Mumbles, Wales",1,"25-Sep-69",1,"White",1,"Roman Catholic",1,"Straight",1
670454758,"FALSE","finalized",3,"2/10/15 2:07","Katy, Tx",1,"25-Apr-69",1,"White",1,"Na",1,"Straight",0.6667
670454759,"FALSE","finalized",3,"2/10/15 2:05","Melbourne, Victoria, Australia",1,"14-May-69",1,"White",1,"Na",1,"Straight",1
670454760,"TRUE","golden",92,,"London, England",1,"7-Mar-71",1,"White",1,"Jewish",1,"Straight",1
670454761,"FALSE","finalized",3,"2/10/15 4:07","Chicago, Il",1,"12-Sep-81",1,"Black",1,"Baptist",1,"Straight",1
670454762,"FALSE","finalized",3,"2/10/15 2:00","London, England",1,"5-Nov-60",1,"White",1,"Na",1,"Straight",1
670454763,"FALSE","finalized",3,"2/10/15 1:59","Madrid, Spain",1,"28-Apr-74",1,"Hispanic",1,"Buddhist",1,"Straight",1
670454764,"TRUE","golden",86,,"Woodlawn, Md",1,"11-Dec-67",0.9631,"Black",1,"Na",1,"Straight",1
670454765,"FALSE","finalized",3,"2/10/15 1:56","New York City",1,"14-Sep-60",1,"White",1,"Na",1,"Straight",1
670454766,"FALSE","finalized",3,"2/10/15 2:18","Montgomery, Al",1,"25-May-72",1,"Black",1,"Na",1,"Na",1
670454767,"FALSE","finalized",3,"2/10/15 2:18","Brooklyn, Ny",1,"12-Nov-82",1,"White",1,"Christian",1,"Straight",1
670454768,"FALSE","finalized",3,"2/10/15 2:10","Mexico City, Mexico",1,"1-Mar-83",1,"Black",1,"Na",1,"Na",1
670927629,"FALSE","finalized",3,"2/10/15 2:02","Sucha, Galicia, Austria",1,"22-Jun-06",1,"White",1,"Jewish",1,"Straight",1
670939613,"FALSE","finalized",3,"2/10/15 1:53","Independence, Mo",1,"16-Jul-11",1,"White",1,"Christian Science",1,"Straight",1
670944094,"FALSE","finalized",3,"2/10/15 2:18","Concord, Ca",1,"9-Jul-56",1,"White",1,"Born-Again Christian",1,"Straight",1
670944168,"FALSE","finalized",3,"2/10/15 3:55","New York City",1,"3-Feb-39",1,"White",1,"Na",1,"Straight",1
670944316,"FALSE","finalized",3,"2/10/15 2:05","Quincy, Il",1,"3-May-06",1,"White",1,"Roman Catholic",1,"Straight",1
670944478,"FALSE","finalized",3,"2/10/15 1:49","Los Angeles, Ca",1,"4-Jun-75",1,"White",1,"Buddhist",1,"Bisexual",1
670944543,"FALSE","finalized",3,"2/10/15 2:12","New York City",1,"31-Oct-27",1,"White",1,"Jewish",1,"Straight",1
670944623,"FALSE","finalized",3,"2/10/15 2:11","New York City",1,"25-Jun-1903",1,"White",1,"Na",1,"Straight",1
670944674,"FALSE","finalized",3,"2/10/15 2:05","Bascom, Fl",1,"14-Jan-41",1,"White",1,"Roman Catholic",1,"Straight",1
670944755,"FALSE","finalized",3,"2/10/15 2:04","Walters, Ok",1,"13-Dec-10",1,"White",1,"Na",1,"Straight",1
670944822,"FALSE","finalized",3,"2/10/15 4:14","Thomasville, Ga",1,"27-Feb-30",1,"White",1,"Na",1,"Straight",1
670944835,"FALSE","finalized",3,"2/10/15 2:08","Helena, Mt",1,"7-May-1901",1,"White",1,"Roman Catholic",1,"Straight",1
670944920,"FALSE","finalized",3,"2/10/15 3:58","London, England",1,"27-Feb-32",1,"White",1,"Jewish",1,"Straight",1
670944948,"FALSE","finalized",3,"2/10/15 2:06","Lincoln, Ne",1,"30-Jul-74",1,"White",1,"Na",1,"Straight",1
670945043,"TRUE","golden",86,,"Lincoln, Ne",1,"30-Jul-74",1,"White",1,"Na",1,"Straight",1
670945693,"FALSE","finalized",3,"2/10/15 1:49","Los Angeles, Ca",1,"27-Sep-72",1,"White",1,"Jewish",1,"Straight",1
670945790,"FALSE","finalized",3,"2/10/15 2:08","Malden, Ma",1,"16-Jun-07",1,"White",1,"Na",1,"Na",1
670945834,"FALSE","finalized",3,"2/10/15 2:07","Woodlawn, Md",1,"11-Dec-67",1,"Black",1,"Na",1,"Straight",1
670945895,"FALSE","finalized",3,"2/10/15 2:13","La Jolla, Ca",1,"14-Aug-59",1,"White",1,"Na",1,"Straight",1
670946199,"FALSE","finalized",3,"2/10/15 2:03","Ilford, Essex, England",1,"28-Dec-34",1,"White",1,"Na",1,"Straight",1
670946276,"FALSE","finalized",3,"2/10/15 2:00","London, England",1,"7-Mar-71",1,"White",1,"Jewish",1,"Straight",1
670946299,"FALSE","finalized",3,"2/10/15 2:04","Manchester, England",1,"20-Oct-56",1,"White",1,"Roman Catholic",1,"Straight",1
670964912,"FALSE","finalized",3,"2/10/15 2:03","Chicago, Il",1,"26-Jul-22",1,"White",1,"Na",1,"Straight",1
670964956,"FALSE","finalized",3,"2/10/15 2:01","Laurel, Ne",1,"31-Aug-28",1,"White",1,"Na",1,"Straight",1
670972898,"FALSE","finalized",3,"2/10/15 2:01","Nevada, Mo",1,"5-Aug-06",1,"White",1,"Na",1,"Straight",1
